Speleothem_ID,distance_mm,Age_kyBP,d18O,d13C,Ref
NAR-C,54.5,27.4,-6.96,-9.28,Cheng et al. 2013; Nat. Comms
NAR-C,54.6,27.42,-6.9,-9.13,Cheng et al. 2013; Nat. Comms
NAR-C,54.7,27.44,-6.9,-9.23,Cheng et al. 2013; Nat. Comms
NAR-C,54.8,27.46,-7.07,-9.1,Cheng et al. 2013; Nat. Comms
NAR-C,54.9,27.48,-6.98,-9.23,Cheng et al. 2013; Nat. Comms
NAR-C,54.9,27.51,-7.21,-9.21,Cheng et al. 2013; Nat. Comms
NAR-C,55,27.54,-7.26,-9.49,Cheng et al. 2013; Nat. Comms
NAR-C,55.1,27.56,-7.52,-9.29,Cheng et al. 2013; Nat. Comms
NAR-C,55.2,27.59,-7.59,-9.44,Cheng et al. 2013; Nat. Comms
NAR-C,55.3,27.61,-7.32,-9.06,Cheng et al. 2013; Nat. Comms
NAR-C,55.4,27.64,-7.16,-9.18,Cheng et al. 2013; Nat. Comms
NAR-C,55.5,27.67,-7,-9.28,Cheng et al. 2013; Nat. Comms
NAR-C,55.6,27.69,-7.17,-8.86,Cheng et al. 2013; Nat. Comms
NAR-C,55.7,27.72,-7.18,-9.05,Cheng et al. 2013; Nat. Comms
NAR-C,55.8,27.75,-7.06,-9.42,Cheng et al. 2013; Nat. Comms
NAR-C,55.9,27.77,-7.33,-8.94,Cheng et al. 2013; Nat. Comms
NAR-C,56,27.8,-7.65,-9.38,Cheng et al. 2013; Nat. Comms
NAR-C,56.1,27.82,-7.51,-9.38,Cheng et al. 2013; Nat. Comms
NAR-C,56.2,27.85,-7.48,-9.29,Cheng et al. 2013; Nat. Comms
NAR-C,56.3,27.88,-7.45,-9.26,Cheng et al. 2013; Nat. Comms
NAR-C,56.4,27.9,,,Cheng et al. 2013; Nat. Comms
NAR-C,56.5,27.93,-7.23,-8.93,Cheng et al. 2013; Nat. Comms
NAR-C,56.6,27.96,-7.47,-8.99,Cheng et al. 2013; Nat. Comms
NAR-C,56.7,27.98,-7.49,-8.99,Cheng et al. 2013; Nat. Comms
NAR-C,56.8,28.01,-7.29,-9.08,Cheng et al. 2013; Nat. Comms
NAR-C,56.8,28.03,-7.3,-9.3,Cheng et al. 2013; Nat. Comms
NAR-C,56.9,28.06,-6.98,-8.78,Cheng et al. 2013; Nat. Comms
NAR-C,57,28.09,-6.86,-9.32,Cheng et al. 2013; Nat. Comms
NAR-C,57.1,28.11,-6.58,-8.88,Cheng et al. 2013; Nat. Comms
NAR-C,57.2,28.14,-7.13,-9.74,Cheng et al. 2013; Nat. Comms
NAR-C,57.3,28.17,-7.04,-9.64,Cheng et al. 2013; Nat. Comms
NAR-C,57.4,28.19,-7.11,-9.65,Cheng et al. 2013; Nat. Comms
NAR-C,57.5,28.22,-7.39,-9.59,Cheng et al. 2013; Nat. Comms
NAR-C,57.6,28.24,-7.22,-9.44,Cheng et al. 2013; Nat. Comms
NAR-C,57.7,28.27,-7.2,-9.03,Cheng et al. 2013; Nat. Comms
NAR-C,57.8,28.3,-7.32,-9.03,Cheng et al. 2013; Nat. Comms
NAR-C,57.9,28.32,-7.68,-9.39,Cheng et al. 2013; Nat. Comms
NAR-C,58,28.35,-7.42,-9.25,Cheng et al. 2013; Nat. Comms
NAR-C,58.1,28.37,-7.6,-9.21,Cheng et al. 2013; Nat. Comms
NAR-C,58.2,28.4,-7.43,-8.86,Cheng et al. 2013; Nat. Comms
NAR-C,58.2,28.42,-7.45,-9.18,Cheng et al. 2013; Nat. Comms
NAR-C,58.3,28.44,-7.63,-9.63,Cheng et al. 2013; Nat. Comms
NAR-C,58.4,28.47,-7.8,-9.63,Cheng et al. 2013; Nat. Comms
NAR-C,58.5,28.49,-7.34,-9.28,Cheng et al. 2013; Nat. Comms
NAR-C,58.6,28.52,-7.55,-9.25,Cheng et al. 2013; Nat. Comms
NAR-C,58.7,28.54,-7.75,-9.39,Cheng et al. 2013; Nat. Comms
NAR-C,58.8,28.57,-7.73,-9.39,Cheng et al. 2013; Nat. Comms
NAR-C,58.9,28.59,-7.82,-9.42,Cheng et al. 2013; Nat. Comms
NAR-C,59,28.62,-7.82,-9.35,Cheng et al. 2013; Nat. Comms
NAR-C,59.1,28.64,-7.75,-9.32,Cheng et al. 2013; Nat. Comms
NAR-C,59.1,28.67,-7.86,-9.34,Cheng et al. 2013; Nat. Comms
NAR-C,59.2,28.69,-7.8,-9.49,Cheng et al. 2013; Nat. Comms
NAR-C,59.3,28.72,-7.8,-9.54,Cheng et al. 2013; Nat. Comms
NAR-C,59.4,28.74,-7.86,-9.61,Cheng et al. 2013; Nat. Comms
NAR-C,59.5,28.77,-7.92,-9.75,Cheng et al. 2013; Nat. Comms
NAR-C,59.6,28.8,-7.93,-9.51,Cheng et al. 2013; Nat. Comms
NAR-C,59.7,28.82,-7.85,-9.46,Cheng et al. 2013; Nat. Comms
NAR-C,59.8,28.85,-7.89,-9.08,Cheng et al. 2013; Nat. Comms
NAR-C,59.9,28.88,-7.89,-8.61,Cheng et al. 2013; Nat. Comms
NAR-C,60,28.91,-7.84,-8.92,Cheng et al. 2013; Nat. Comms
NAR-C,60.1,28.93,-7.9,-9.36,Cheng et al. 2013; Nat. Comms
NAR-C,60.2,28.96,-7.61,-9.27,Cheng et al. 2013; Nat. Comms
NAR-C,60.3,28.99,-7.5,-9.34,Cheng et al. 2013; Nat. Comms
NAR-C,60.4,29.02,-7.57,-9.8,Cheng et al. 2013; Nat. Comms
NAR-C,60.5,29.04,-7.7,-9.35,Cheng et al. 2013; Nat. Comms
NAR-C,60.6,29.07,-7.48,-9.51,Cheng et al. 2013; Nat. Comms
NAR-C,60.7,29.1,-7.49,-9.95,Cheng et al. 2013; Nat. Comms
NAR-C,60.8,29.14,-7.73,-9.56,Cheng et al. 2013; Nat. Comms
NAR-C,60.9,29.17,-7.16,-9.39,Cheng et al. 2013; Nat. Comms
NAR-C,61.1,29.2,-6.96,-8.92,Cheng et al. 2013; Nat. Comms
NAR-C,61.2,29.23,-6.9,-9.12,Cheng et al. 2013; Nat. Comms
NAR-C,61.3,29.26,-6.69,-9.12,Cheng et al. 2013; Nat. Comms
NAR-C,61.4,29.29,-6.71,-9.42,Cheng et al. 2013; Nat. Comms
NAR-C,61.5,29.32,-6.88,-9.52,Cheng et al. 2013; Nat. Comms
NAR-C,61.6,29.38,-7.44,-7.44,Cheng et al. 2013; Nat. Comms
NAR-C,61.7,29.42,-8.38,-8.84,Cheng et al. 2013; Nat. Comms
NAR-C,61.8,29.47,-8.08,-9.03,Cheng et al. 2013; Nat. Comms
NAR-C,61.9,29.51,-8.77,-9.24,Cheng et al. 2013; Nat. Comms
NAR-C,61.9,29.56,-8.23,-9.22,Cheng et al. 2013; Nat. Comms
NAR-C,62,29.6,-8.23,-9.34,Cheng et al. 2013; Nat. Comms
NAR-C,62.1,29.65,-8.36,-9.32,Cheng et al. 2013; Nat. Comms
NAR-C,62.2,29.69,-8.19,-8.47,Cheng et al. 2013; Nat. Comms
NAR-C,62.3,29.74,-8.25,-9.14,Cheng et al. 2013; Nat. Comms
NAR-C,62.4,29.78,-8.42,-9.88,Cheng et al. 2013; Nat. Comms
NAR-C,62.5,29.83,-8.5,-9.47,Cheng et al. 2013; Nat. Comms
NAR-C,62.5,29.88,-8.4,-9.66,Cheng et al. 2013; Nat. Comms
NAR-C,62.6,29.92,-8.12,-8.62,Cheng et al. 2013; Nat. Comms
NAR-C,62.7,29.97,-8.11,-9.1,Cheng et al. 2013; Nat. Comms
NAR-C,62.8,30.02,-8.42,-8.77,Cheng et al. 2013; Nat. Comms
NAR-C,62.9,30.07,-8.33,-8.71,Cheng et al. 2013; Nat. Comms
NAR-C,63,30.11,-8,-8.49,Cheng et al. 2013; Nat. Comms
NAR-C,63.1,30.16,-8.4,-9.01,Cheng et al. 2013; Nat. Comms
NAR-C,63.2,30.21,-7.82,-9.09,Cheng et al. 2013; Nat. Comms
NAR-C,63.3,30.26,-8.14,-9.18,Cheng et al. 2013; Nat. Comms
NAR-C,63.4,30.31,-7.92,-9.04,Cheng et al. 2013; Nat. Comms
NAR-C,63.4,30.35,-7.72,-8.7,Cheng et al. 2013; Nat. Comms
NAR-C,63.5,30.4,-7.6,-8.7,Cheng et al. 2013; Nat. Comms
NAR-C,63.6,30.44,-7.65,-8.84,Cheng et al. 2013; Nat. Comms
NAR-C,63.7,30.49,-7.4,-8.97,Cheng et al. 2013; Nat. Comms
NAR-C,63.8,30.53,-7.51,-9.43,Cheng et al. 2013; Nat. Comms
NAR-C,63.9,30.58,-7.56,-9.08,Cheng et al. 2013; Nat. Comms
NAR-C,63.9,30.62,-7.43,-8.49,Cheng et al. 2013; Nat. Comms
NAR-C,64,30.67,-6.94,-8.64,Cheng et al. 2013; Nat. Comms
NAR-C,64.1,30.71,-7.12,-8.72,Cheng et al. 2013; Nat. Comms
NAR-C,64.2,30.76,-7.31,-8.99,Cheng et al. 2013; Nat. Comms
NAR-C,64.3,30.8,-7.05,-8.99,Cheng et al. 2013; Nat. Comms
NAR-C,64.4,30.85,-6.96,-9.2,Cheng et al. 2013; Nat. Comms
NAR-C,64.5,30.89,-7.01,-9.46,Cheng et al. 2013; Nat. Comms
NAR-C,64.5,30.94,-6.73,-9.57,Cheng et al. 2013; Nat. Comms
NAR-C,64.6,30.98,-6.85,-9.42,Cheng et al. 2013; Nat. Comms
NAR-C,64.7,31.03,-6.84,-9.28,Cheng et al. 2013; Nat. Comms
NAR-C,64.8,31.07,-6.89,-8.89,Cheng et al. 2013; Nat. Comms
NAR-C,64.9,31.12,-7.35,-8.83,Cheng et al. 2013; Nat. Comms
NAR-C,65,31.16,-7.55,-8.95,Cheng et al. 2013; Nat. Comms
NAR-C,65.1,31.21,-7.05,-8.47,Cheng et al. 2013; Nat. Comms
NAR-C,65.1,31.26,-7.39,-8.72,Cheng et al. 2013; Nat. Comms
NAR-C,65.2,31.3,-7.23,-8.65,Cheng et al. 2013; Nat. Comms
NAR-C,65.3,31.35,-7.26,-8.6,Cheng et al. 2013; Nat. Comms
NAR-C,65.4,31.39,-7.31,-8.34,Cheng et al. 2013; Nat. Comms
NAR-C,65.5,31.44,-7.37,-8.39,Cheng et al. 2013; Nat. Comms
NAR-C,65.6,31.48,-7.06,-7.91,Cheng et al. 2013; Nat. Comms
NAR-C,65.7,31.58,-7.35,-8.48,Cheng et al. 2013; Nat. Comms
NAR-C,65.7,31.59,-7.05,-8.57,Cheng et al. 2013; Nat. Comms
NAR-C,65.8,31.7,-6.94,-8.43,Cheng et al. 2013; Nat. Comms
NAR-C,65.9,31.8,-7.28,-8.31,Cheng et al. 2013; Nat. Comms
NAR-C,65.9,31.91,-7.12,-8.48,Cheng et al. 2013; Nat. Comms
NAR-C,66,32.03,-7.19,-8.54,Cheng et al. 2013; Nat. Comms
NAR-C,66.1,32.14,-7.06,-8.31,Cheng et al. 2013; Nat. Comms
NAR-C,66.2,32.25,-6.9,-8.34,Cheng et al. 2013; Nat. Comms
NAR-C,66.3,32.36,-6.54,-8.22,Cheng et al. 2013; Nat. Comms
NAR-C,66.3,32.47,-6.5,-8.68,Cheng et al. 2013; Nat. Comms
NAR-C,66.4,32.58,-6.6,-8.47,Cheng et al. 2013; Nat. Comms
NAR-C,66.5,32.69,-7.53,-8.5,Cheng et al. 2013; Nat. Comms
NAR-C,66.6,32.8,-7.59,-8.53,Cheng et al. 2013; Nat. Comms
NAR-C,66.7,32.91,-7.8,-8.4,Cheng et al. 2013; Nat. Comms
NAR-C,66.7,33.03,-7.98,-8.51,Cheng et al. 2013; Nat. Comms
NAR-C,66.8,33.15,-7.8,-8.43,Cheng et al. 2013; Nat. Comms
NAR-C,66.9,33.21,-7.53,-8.16,Cheng et al. 2013; Nat. Comms
NAR-C,67,33.27,-7.33,-8.51,Cheng et al. 2013; Nat. Comms
NAR-C,67.1,33.33,-6.83,-8.47,Cheng et al. 2013; Nat. Comms
NAR-C,67.2,33.4,-7.04,-8.77,Cheng et al. 2013; Nat. Comms
NAR-C,67.2,33.46,-7.05,-8.66,Cheng et al. 2013; Nat. Comms
NAR-C,67.3,33.52,-7.85,-8.61,Cheng et al. 2013; Nat. Comms
NAR-C,67.4,33.73,-7.75,-9.07,Cheng et al. 2013; Nat. Comms
NAR-C,67.5,33.95,-7.37,-8.83,Cheng et al. 2013; Nat. Comms
NAR-C,67.6,34.2,-7.35,-9.07,Cheng et al. 2013; Nat. Comms
NAR-C,67.7,34.45,-7.25,-8.95,Cheng et al. 2013; Nat. Comms
NAR-C,67.8,34.48,-7.06,-8.62,Cheng et al. 2013; Nat. Comms
NAR-C,67.9,34.51,-7.15,-8.44,Cheng et al. 2013; Nat. Comms
NAR-C,68,34.54,-7.16,-8.38,Cheng et al. 2013; Nat. Comms
NAR-C,68.1,34.57,-7.03,-8.43,Cheng et al. 2013; Nat. Comms
NAR-C,68.2,34.6,-7.25,-8.32,Cheng et al. 2013; Nat. Comms
NAR-C,68.4,34.66,-7.5,-8.68,Cheng et al. 2013; Nat. Comms
NAR-C,68.7,34.73,-7.37,-8.26,Cheng et al. 2013; Nat. Comms
NAR-C,68.9,34.8,-7.22,-8.56,Cheng et al. 2013; Nat. Comms
NAR-C,69,34.82,-7.55,-8.6,Cheng et al. 2013; Nat. Comms
NAR-C,69.1,34.85,-6.92,-8.72,Cheng et al. 2013; Nat. Comms
NAR-C,69.1,34.88,-6.95,-8.66,Cheng et al. 2013; Nat. Comms
NAR-C,69.2,34.91,-6.73,-8.28,Cheng et al. 2013; Nat. Comms
NAR-C,69.3,34.93,-7.17,-8.43,Cheng et al. 2013; Nat. Comms
NAR-C,69.4,34.96,-7.17,-8.5,Cheng et al. 2013; Nat. Comms
NAR-C,69.5,34.99,-7.29,-8.66,Cheng et al. 2013; Nat. Comms
NAR-C,69.5,35.01,-7.36,-8.55,Cheng et al. 2013; Nat. Comms
NAR-C,69.6,35.04,-7.04,-8.81,Cheng et al. 2013; Nat. Comms
NAR-C,69.7,35.07,-7.23,-8.83,Cheng et al. 2013; Nat. Comms
NAR-C,69.8,35.09,-6.85,-8.72,Cheng et al. 2013; Nat. Comms
NAR-C,69.8,35.12,-6.84,-8.77,Cheng et al. 2013; Nat. Comms
NAR-C,69.9,35.14,-6.96,-8.78,Cheng et al. 2013; Nat. Comms
NAR-C,70,35.16,-7.11,-8.85,Cheng et al. 2013; Nat. Comms
NAR-C,70.1,35.19,-6.75,-8.77,Cheng et al. 2013; Nat. Comms
NAR-C,70.1,35.21,-6.67,-8.81,Cheng et al. 2013; Nat. Comms
NAR-C,70.2,35.24,-6.32,-8.45,Cheng et al. 2013; Nat. Comms
NAR-C,70.3,35.26,-7.07,-8.61,Cheng et al. 2013; Nat. Comms
NAR-C,70.3,35.28,-6.73,-8.68,Cheng et al. 2013; Nat. Comms
NAR-C,70.4,35.31,-7.05,-8.76,Cheng et al. 2013; Nat. Comms
NAR-C,70.5,35.32,-6.96,-8.78,Cheng et al. 2013; Nat. Comms
NAR-C,70.5,35.34,-6.96,-8.78,Cheng et al. 2013; Nat. Comms
NAR-C,70.6,35.36,-7.34,-8.97,Cheng et al. 2013; Nat. Comms
NAR-C,70.7,35.38,-7.08,-8.98,Cheng et al. 2013; Nat. Comms
NAR-C,70.8,35.4,-7.11,-8.64,Cheng et al. 2013; Nat. Comms
NAR-C,70.8,35.41,-7.08,-8.79,Cheng et al. 2013; Nat. Comms
NAR-C,70.9,35.43,-7.33,-8.57,Cheng et al. 2013; Nat. Comms
NAR-C,71,35.45,-7.17,-8.9,Cheng et al. 2013; Nat. Comms
NAR-C,71,35.47,-7.33,-8.72,Cheng et al. 2013; Nat. Comms
NAR-C,71.1,35.49,-7.46,-8.98,Cheng et al. 2013; Nat. Comms
NAR-C,71.2,35.5,-7.94,-8.66,Cheng et al. 2013; Nat. Comms
NAR-C,71.2,35.51,-7.78,-8.75,Cheng et al. 2013; Nat. Comms
NAR-C,71.3,35.53,-7.66,-8.91,Cheng et al. 2013; Nat. Comms
NAR-C,71.3,35.54,-7.78,-8.64,Cheng et al. 2013; Nat. Comms
NAR-C,71.4,35.56,-7.69,-8.7,Cheng et al. 2013; Nat. Comms
NAR-C,71.4,35.57,-7.68,-8.64,Cheng et al. 2013; Nat. Comms
NAR-C,71.5,35.58,-7.87,-8.91,Cheng et al. 2013; Nat. Comms
NAR-C,71.5,35.6,-7.96,-8.81,Cheng et al. 2013; Nat. Comms
NAR-C,71.6,35.61,-7.85,-8.57,Cheng et al. 2013; Nat. Comms
NAR-C,71.7,35.64,-7.93,-8.72,Cheng et al. 2013; Nat. Comms
NAR-C,71.7,35.68,-7.68,-8.65,Cheng et al. 2013; Nat. Comms
NAR-C,71.8,35.73,-7.81,-8.56,Cheng et al. 2013; Nat. Comms
NAR-C,71.9,35.77,-7.84,-8.55,Cheng et al. 2013; Nat. Comms
NAR-C,72,35.81,-7.56,-8.54,Cheng et al. 2013; Nat. Comms
NAR-C,72,35.86,-7.89,-8.28,Cheng et al. 2013; Nat. Comms
NAR-C,72.1,35.9,-7.9,-8.7,Cheng et al. 2013; Nat. Comms
NAR-C,72.2,35.94,-8.05,-8.78,Cheng et al. 2013; Nat. Comms
NAR-C,72.3,35.94,-8.09,-8.44,Cheng et al. 2013; Nat. Comms
NAR-C,72.3,36.03,-7.57,-8.94,Cheng et al. 2013; Nat. Comms
NAR-C,72.4,36.04,-7.8,-8.86,Cheng et al. 2013; Nat. Comms
NAR-C,72.5,36.05,-8.1,-8.93,Cheng et al. 2013; Nat. Comms
NAR-C,72.5,36.07,-8.23,-8.84,Cheng et al. 2013; Nat. Comms
NAR-C,72.6,36.08,-7.98,-9.12,Cheng et al. 2013; Nat. Comms
NAR-C,72.7,36.1,-7.96,-8.99,Cheng et al. 2013; Nat. Comms
NAR-C,72.8,36.11,-7.87,-8.87,Cheng et al. 2013; Nat. Comms
NAR-C,72.8,36.12,-7.63,-9.02,Cheng et al. 2013; Nat. Comms
NAR-C,72.9,36.14,-8.14,-9.37,Cheng et al. 2013; Nat. Comms
NAR-C,73,36.2,-7.54,-9,Cheng et al. 2013; Nat. Comms
NAR-C,73,36.26,-7.45,-9.13,Cheng et al. 2013; Nat. Comms
NAR-C,73.1,36.32,-7.8,-9.19,Cheng et al. 2013; Nat. Comms
NAR-C,73.2,36.37,-7.76,-9.17,Cheng et al. 2013; Nat. Comms
NAR-C,73.2,36.43,-7.74,-9.03,Cheng et al. 2013; Nat. Comms
NAR-C,73.3,36.49,-7.41,-8.84,Cheng et al. 2013; Nat. Comms
NAR-C,73.4,36.54,-7.47,-8.6,Cheng et al. 2013; Nat. Comms
NAR-C,73.4,36.6,-7.48,-9.08,Cheng et al. 2013; Nat. Comms
NAR-C,73.5,36.66,-7.21,-8.49,Cheng et al. 2013; Nat. Comms
NAR-C,73.6,36.71,-7.1,-8.42,Cheng et al. 2013; Nat. Comms
NAR-C,73.6,36.77,-6.8,-8.16,Cheng et al. 2013; Nat. Comms
NAR-C,73.7,36.83,-6.56,-8.4,Cheng et al. 2013; Nat. Comms
NAR-C,73.8,36.88,-6.66,-8.04,Cheng et al. 2013; Nat. Comms
NAR-C,73.8,36.96,-6.95,-8.39,Cheng et al. 2013; Nat. Comms
NAR-C,73.9,37.28,-6.56,-8.14,Cheng et al. 2013; Nat. Comms
NAR-C,74,37.61,-6.58,-8.31,Cheng et al. 2013; Nat. Comms
NAR-C,74.1,37.94,-6.96,-8.53,Cheng et al. 2013; Nat. Comms
NAR-C,74.2,38.26,-7.61,-8.24,Cheng et al. 2013; Nat. Comms
NAR-C,74.3,38.59,-7.82,-8.61,Cheng et al. 2013; Nat. Comms
NAR-C,74.3,38.92,-8.18,-8.69,Cheng et al. 2013; Nat. Comms
NAR-C,74.4,39.45,-7.27,-8.1,Cheng et al. 2013; Nat. Comms
NAR-C,74.5,39.99,-7.03,-8.07,Cheng et al. 2013; Nat. Comms
NAR-C,74.6,40.53,-7.28,-7.75,Cheng et al. 2013; Nat. Comms
NAR-C,74.7,41.22,-7.24,-7.78,Cheng et al. 2013; Nat. Comms
NAR-C,74.8,41.91,-7.08,-8.04,Cheng et al. 2013; Nat. Comms
NAR-C,74.9,42.61,-6.98,-8.02,Cheng et al. 2013; Nat. Comms
NAR-C,75,43.3,-6.91,-7.41,Cheng et al. 2013; Nat. Comms
NAR-C,75.2,44,-7.05,-8.12,Cheng et al. 2013; Nat. Comms
NAR-C,75.3,44.69,-6.79,-8.08,Cheng et al. 2013; Nat. Comms
NAR-C,75.4,45.39,-6.62,-8.21,Cheng et al. 2013; Nat. Comms
NAR-C,75.5,46.08,-6.63,-8.1,Cheng et al. 2013; Nat. Comms
NAR-C,75.6,47.1,-6.68,-7.76,Cheng et al. 2013; Nat. Comms
NAR-C,75.7,48.12,-6.63,-7.58,Cheng et al. 2013; Nat. Comms
NAR-C,75.8,48.68,-6.89,-8.17,Cheng et al. 2013; Nat. Comms
NAR-C,75.8,49.24,-6.99,-8.44,Cheng et al. 2013; Nat. Comms
NAR-C,75.9,49.8,-6.91,-8.67,Cheng et al. 2013; Nat. Comms
NAR-C,75.9,50.35,-6.73,-8.34,Cheng et al. 2013; Nat. Comms
NAR-C,76,50.91,-6.69,-8.25,Cheng et al. 2013; Nat. Comms
NAR-C,76.1,51.01,-6.92,-8.08,Cheng et al. 2013; Nat. Comms
NAR-C,76.1,51.12,-7,-8.35,Cheng et al. 2013; Nat. Comms
NAR-C,76.2,51.22,-6.55,-8.21,Cheng et al. 2013; Nat. Comms
NAR-C,76.2,51.33,-6.66,-8.05,Cheng et al. 2013; Nat. Comms
NAR-C,76.3,51.43,-6.85,-8.46,Cheng et al. 2013; Nat. Comms
NAR-C,76.4,51.53,-6.8,-8.47,Cheng et al. 2013; Nat. Comms
NAR-C,76.4,51.62,-6.67,-8.4,Cheng et al. 2013; Nat. Comms
NAR-C,76.5,51.72,-6.94,-8.42,Cheng et al. 2013; Nat. Comms
NAR-C,76.5,51.81,-6.91,-8.67,Cheng et al. 2013; Nat. Comms
NAR-C,76.6,51.91,-6.79,-8.28,Cheng et al. 2013; Nat. Comms
NAR-C,76.6,52,-6.39,-7.69,Cheng et al. 2013; Nat. Comms
NAR-C,76.7,52.1,-6.2,-7.89,Cheng et al. 2013; Nat. Comms
NAR-C,76.7,52.19,-6.61,-8.03,Cheng et al. 2013; Nat. Comms
NAR-C,76.8,52.29,-6.39,-8.13,Cheng et al. 2013; Nat. Comms
NAR-C,76.9,52.38,-6.48,-8.23,Cheng et al. 2013; Nat. Comms
NAR-C,76.9,52.5,-6.37,-8.12,Cheng et al. 2013; Nat. Comms
NAR-C,77,52.61,-6.6,-8.45,Cheng et al. 2013; Nat. Comms
NAR-C,77,52.72,-6.62,-8.35,Cheng et al. 2013; Nat. Comms
NAR-C,77.1,52.83,-6.65,-8.44,Cheng et al. 2013; Nat. Comms
NAR-C,77.2,52.95,-6.35,-8.38,Cheng et al. 2013; Nat. Comms
NAR-C,77.2,53.06,-6.39,-8.34,Cheng et al. 2013; Nat. Comms
NAR-C,77.3,53.17,-6.67,-8.74,Cheng et al. 2013; Nat. Comms
NAR-C,77.4,53.28,-6.97,-8.52,Cheng et al. 2013; Nat. Comms
NAR-C,77.4,53.4,-6.61,-8.06,Cheng et al. 2013; Nat. Comms
NAR-C,77.5,53.51,-6.53,-8.1,Cheng et al. 2013; Nat. Comms
NAR-C,77.6,53.6,-6.58,-8.17,Cheng et al. 2013; Nat. Comms
NAR-C,77.6,53.68,-6.76,-7.86,Cheng et al. 2013; Nat. Comms
NAR-C,77.7,53.77,-7,-7.86,Cheng et al. 2013; Nat. Comms
NAR-C,77.7,53.86,-7.42,-7.94,Cheng et al. 2013; Nat. Comms
NAR-C,77.8,53.94,-7.38,-7.89,Cheng et al. 2013; Nat. Comms
NAR-C,77.8,54.03,-7.4,-7.85,Cheng et al. 2013; Nat. Comms
NAR-C,77.9,54.25,-7.37,-7.8,Cheng et al. 2013; Nat. Comms
NAR-C,77.9,54.48,-7.61,-8.07,Cheng et al. 2013; Nat. Comms
NAR-C,78,54.71,-7.51,-8.23,Cheng et al. 2013; Nat. Comms
NAR-C,78,54.93,-7.56,-8.18,Cheng et al. 2013; Nat. Comms
NAR-C,78,55.13,-7.45,-8.22,Cheng et al. 2013; Nat. Comms
NAR-C,78.1,55.34,-7.17,-8.25,Cheng et al. 2013; Nat. Comms
NAR-C,78.1,55.54,-6.95,-8.16,Cheng et al. 2013; Nat. Comms
NAR-C,78.2,55.74,-7,-7.74,Cheng et al. 2013; Nat. Comms
NAR-C,78.2,55.95,-7,-7.97,Cheng et al. 2013; Nat. Comms
NAR-C,78.3,56.15,-7.13,-8.24,Cheng et al. 2013; Nat. Comms
NAR-C,78.3,56.35,-7.06,-8.03,Cheng et al. 2013; Nat. Comms
NAR-C,78.4,56.56,-6.59,-7.74,Cheng et al. 2013; Nat. Comms
NAR-C,78.4,56.76,-6.9,-7.61,Cheng et al. 2013; Nat. Comms
NAR-C,78.5,56.96,-6.92,-7.21,Cheng et al. 2013; Nat. Comms
NAR-C,78.5,57.17,-6.53,-7.2,Cheng et al. 2013; Nat. Comms
NAR-C,78.5,57.37,-6.47,-7.26,Cheng et al. 2013; Nat. Comms
NAR-C,78.6,57.57,-6.69,-7.29,Cheng et al. 2013; Nat. Comms
NAR-C,78.6,57.63,-6.56,-7.35,Cheng et al. 2013; Nat. Comms
NAR-C,78.7,57.69,-6.64,-7.36,Cheng et al. 2013; Nat. Comms
NAR-C,78.7,57.74,-6.56,-7.32,Cheng et al. 2013; Nat. Comms
NAR-C,78.8,57.8,-6.52,-7.37,Cheng et al. 2013; Nat. Comms
NAR-C,78.8,57.86,-6.59,-7.49,Cheng et al. 2013; Nat. Comms
NAR-C,78.9,57.92,-6.83,-7.54,Cheng et al. 2013; Nat. Comms
NAR-C,78.9,57.97,-6.81,-7.5,Cheng et al. 2013; Nat. Comms
NAR-C,79,58.04,-6.92,-7.44,Cheng et al. 2013; Nat. Comms
NAR-C,79,58.1,-6.96,-7.52,Cheng et al. 2013; Nat. Comms
NAR-C,79.1,58.17,-6.93,-7.41,Cheng et al. 2013; Nat. Comms
NAR-C,79.1,58.23,-6.84,-7.5,Cheng et al. 2013; Nat. Comms
NAR-C,79.2,58.29,-6.84,-7.59,Cheng et al. 2013; Nat. Comms
NAR-C,79.2,58.36,-6.7,-7.77,Cheng et al. 2013; Nat. Comms
NAR-C,79.3,58.42,-6.76,-7.66,Cheng et al. 2013; Nat. Comms
NAR-C,79.3,58.49,-7.21,-8.19,Cheng et al. 2013; Nat. Comms
NAR-C,79.4,58.55,-7.3,-8.01,Cheng et al. 2013; Nat. Comms
NAR-C,79.4,58.61,-7.6,-8,Cheng et al. 2013; Nat. Comms
NAR-C,79.5,58.69,-7.62,-8.04,Cheng et al. 2013; Nat. Comms
NAR-C,79.5,58.76,-7.49,-8.11,Cheng et al. 2013; Nat. Comms
NAR-C,79.6,58.83,-7.41,-7.88,Cheng et al. 2013; Nat. Comms
NAR-C,79.6,58.9,,,Cheng et al. 2013; Nat. Comms
NAR-C,79.7,58.97,,,Cheng et al. 2013; Nat. Comms
NAR-C,79.7,59.04,-6.71,-6.82,Cheng et al. 2013; Nat. Comms
NAR-C,79.8,59.11,-7.17,-7.5,Cheng et al. 2013; Nat. Comms
NAR-C,79.8,59.18,-7.12,-7.53,Cheng et al. 2013; Nat. Comms
NAR-C,79.9,59.25,-7.32,-7.61,Cheng et al. 2013; Nat. Comms
NAR-C,80,59.32,-7.36,-7.74,Cheng et al. 2013; Nat. Comms
NAR-C,80,59.39,-7.64,-7.65,Cheng et al. 2013; Nat. Comms
NAR-C,80.1,59.46,-7.65,-7.73,Cheng et al. 2013; Nat. Comms
