lat,lon,sampleID,siteID,entityID,elevation,d18,d13,age,Ref
-5.92,-77.35,41942,25,93,114,-6.987,-10.774,186,van Breukelen et al. 2008; EPSL
-5.92,-77.35,41943,25,93,114,-6.975,-10.581,191,van Breukelen et al. 2008; EPSL
-5.92,-77.35,41944,25,93,114,-7.064,-10.648,188,van Breukelen et al. 2008; EPSL
-5.92,-77.35,41945,25,93,114,-6.991,-10.448,193,van Breukelen et al. 2008; EPSL
-5.92,-77.35,41946,25,93,114,-6.999,-10.624,195,van Breukelen et al. 2008; EPSL
-5.92,-77.35,41947,25,93,114,-6.976,-10.774,197,van Breukelen et al. 2008; EPSL
-5.92,-77.35,41948,25,93,114,-7.294,-10.43,202,van Breukelen et al. 2008; EPSL
-5.92,-77.35,41949,25,93,114,-7.043,-10.648,200,van Breukelen et al. 2008; EPSL
-5.92,-77.35,41950,25,93,114,-7.049,-9.823,204,van Breukelen et al. 2008; EPSL
-5.92,-77.35,41951,25,93,114,-7.324,-10.009,206,van Breukelen et al. 2008; EPSL
-5.92,-77.35,41952,25,93,114,-7.433,-10.11,209,van Breukelen et al. 2008; EPSL
-5.92,-77.35,41953,25,93,114,-7.324,-10.134,211,van Breukelen et al. 2008; EPSL
-5.92,-77.35,41954,25,93,114,-7.171,-10.324,213,van Breukelen et al. 2008; EPSL
-5.92,-77.35,41955,25,93,114,-7.037,-10.506,216,van Breukelen et al. 2008; EPSL
-5.92,-77.35,41956,25,93,114,-6.977,-10.605,218,van Breukelen et al. 2008; EPSL
-5.92,-77.35,41957,25,93,114,-7.058,-10.721,220,van Breukelen et al. 2008; EPSL
-5.92,-77.35,41958,25,93,114,-7.107,-10.634,222,van Breukelen et al. 2008; EPSL
-5.92,-77.35,41959,25,93,114,-7.25,-10.668,225,van Breukelen et al. 2008; EPSL
-5.92,-77.35,41960,25,93,114,-7.171,-10.675,227,van Breukelen et al. 2008; EPSL
-5.92,-77.35,41961,25,93,114,-7.06,-10.566,229,van Breukelen et al. 2008; EPSL
