"dating_id","entity_id","date_type","depth_dating","dating_thickness","lab_num","material_dated","min_weight","max_weight","uncorr_age","uncorr_age_uncert_pos","uncorr_age_uncert_neg","14C_correction","calib_used","date_used","238U_content","238U_uncertainty","232Th_content","232Th_uncertainty","230Th_content","230Th_uncertainty","230Th_232Th_ratio","230Th_232Th_ratio_uncertainty","230Th_238U_activity","230Th_238U_activity_uncertainty","234U_238U_activity","234U_238U_activity_uncertainty","ini_230Th_232Th_ratio","ini_230Th_232Th_ratio_uncertainty","decay_constant","corr_age","corr_age_uncert_pos","corr_age_uncert_neg","date_used_lin_interp","date_used_lin_reg","date_used_Bchron","date_used_Bacon","date_used_OxCal","date_used_copRa","date_used_StalAge"
6901,389,"MC-ICP-MS U/Th",100,NA,"Y1B-4","calcite",NA,NA,9781.00592571,22.2130667151,22.2130667151,NA,NA,"yes",109.524479246,0.111775958068,315.657399768,6.33744611222,NA,NA,NA,NA,0.239152322852,0.000459824350747,2.763396473,0.002884793,0.814430125,0.407215062,"Cheng et al. 2000",9749,30,30,"yes","yes","yes","yes","yes","yes","yes"
6902,389,"MC-ICP-MS U/Th",130,NA,"Y1B-5","calcite",NA,NA,9890.9842689,25.0422135117,25.0422135117,NA,NA,"yes",102.561940759,0.0902347030483,165.985948807,3.36001694394,NA,NA,NA,NA,0.241567483523,0.000542663078806,2.761380496,0.002622723,0.814430125,0.407215062,"Cheng et al. 2000",9879,30,30,"yes","yes","yes","yes","yes","yes","yes"
6903,389,"MC-ICP-MS U/Th",240,NA,"Y1B-6","calcite",NA,NA,10552.7486181,27.4056214317,27.4056214317,NA,NA,"yes",58.5103801248,0.0479708937133,517.89179377,10.3740710859,NA,NA,NA,NA,0.256306984522,0.00059980785457,2.752792141,0.002388339,0.814430125,0.407215062,"Cheng et al. 2000",10459,70.4926946562,70.4926946562,"yes","yes","yes","yes","yes","yes","yes"
6904,389,"MC-ICP-MS U/Th",315,NA,"Y1B-7","calcite",NA,NA,10855.7250901,29.6143638976,29.6143638976,NA,NA,"yes",70.8817669967,0.0656211088517,379.889704212,7.62538961474,NA,NA,NA,NA,0.263613644503,0.000637102997184,2.755265045,0.002775569,0.814430125,0.407215062,"Cheng et al. 2000",10799,50,50,"yes","yes","yes","yes","yes","yes","yes"
6905,389,"MC-ICP-MS U/Th",325,NA,"Y1B-8","calcite",NA,NA,11466.5056185,44.8989376474,44.8989376474,NA,NA,"yes",59.3026300713,0.0618570108139,119.498694211,2.48217489152,NA,NA,NA,NA,0.276874217801,0.00100194151814,2.74585139,0.002712757,0.814430125,0.407215062,"Cheng et al. 2000",11449,50,50,"yes","yes","yes","yes","yes","yes","yes"
6906,389,"MC-ICP-MS U/Th",390,NA,"Y1B-9","calcite",NA,NA,11984.6659948,26.6052909216,26.6052909216,NA,NA,"yes",94.2327182283,0.0949446201041,84.4641860488,1.72744294065,NA,NA,NA,NA,0.288724005198,0.000530025730295,2.744732681,0.00291173,0.814430125,0.407215062,"Cheng et al. 2000",11979,30,30,"yes","yes","yes","yes","yes","yes","yes"
6907,389,"MC-ICP-MS U/Th",430,NA,"Y1B-10","calcite",NA,NA,12206.2575817,31.2914885262,31.2914885262,NA,NA,"yes",62.515927603,0.0652701132485,124.365429153,2.52180989419,NA,NA,NA,NA,0.294365193691,0.000663782027752,2.749736846,0.002618919,0.814430125,0.407215062,"Cheng et al. 2000",12189,40,40,"yes","yes","yes","yes","yes","yes","yes"
6908,389,"MC-ICP-MS U/Th",460,NA,"Y1B-11","calcite",NA,NA,12513.600926,31.6278633002,31.6278633002,NA,NA,"yes",60.3956261419,0.0643961946175,176.343265728,3.55072291376,NA,NA,NA,NA,0.301206991643,0.000664983945521,2.7476145,0.002658266,0.814430125,0.407215062,"Cheng et al. 2000",12479,40,40,"yes","yes","yes","yes","yes","yes","yes"
6909,389,"MC-ICP-MS U/Th",535,NA,"Y1B-12","calcite",NA,NA,12983.9175931,34.5185469696,34.5185469696,NA,NA,"yes",45.8345999779,0.0452563510519,291.705370891,5.85269505925,NA,NA,NA,NA,0.311429198273,0.000718843897229,2.742658094,0.002846007,0.814430125,0.407215062,"Cheng et al. 2000",12919,60,60,"yes","yes","yes","yes","yes","yes","yes"
6910,389,"MC-ICP-MS U/Th",595,NA,"Y1B-13","calcite",NA,NA,13553.5150965,35.9662137642,35.9662137642,NA,NA,"yes",66.3224635345,0.0634219607658,882.899089491,17.6881593399,NA,NA,NA,NA,0.323723325115,0.000742111365599,2.736794351,0.002867022,0.814430125,0.407215062,"Cheng et al. 2000",13419,110,110,"yes","yes","yes","yes","yes","yes","yes"
6911,389,"MC-ICP-MS U/Th",730,NA,"Y1B-14","calcite",NA,NA,14108.4705075,30.4909616846,30.4909616846,NA,NA,"yes",77.2475677514,0.0759113138744,346.288721482,6.94494659278,NA,NA,NA,NA,0.336396073326,0.000598513467744,2.737552438,0.002772827,0.814430125,0.407215062,"Cheng et al. 2000",14059,50,50,"yes","yes","yes","yes","yes","yes","yes"
6912,389,"MC-ICP-MS U/Th",780,NA,"Y1B-15","calcite",NA,NA,14363.8592607,30.8321307291,30.8321307291,NA,NA,"yes",99.3157637097,0.0980678502907,916.924024247,18.3707827205,NA,NA,NA,NA,0.341863765167,0.000596052521943,2.735125933,0.002849665,0.814430125,0.407215062,"Cheng et al. 2000",14269,80,80,"yes","yes","yes","yes","yes","yes","yes"
6913,389,"MC-ICP-MS U/Th",855,NA,"Y1B-16","calcite",NA,NA,14861.6728956,32.5874292663,32.5874292663,NA,NA,"yes",99.6966734819,0.0986561415978,146.795073225,2.97419419092,NA,NA,NA,NA,0.353034845871,0.000631923063035,2.73481056,0.002848739,0.814430125,0.407215062,"Cheng et al. 2000",14849,40,40,"yes","yes","yes","yes","yes","yes","yes"
6914,389,"MC-ICP-MS U/Th",920,NA,"Y1B-17","calcite",NA,NA,15398.224744,33.8787976903,33.8787976903,NA,NA,"yes",82.4640070128,0.0705943937367,641.174726046,12.8512831991,NA,NA,NA,NA,0.365882129149,0.000675023208639,2.740831451,0.002599898,0.814430125,0.407215062,"Cheng et al. 2000",15319,70,70,"yes","yes","yes","yes","yes","yes","yes"
6915,389,"ICP-MS U/Th Other",0,NA,"Y10*","calcite",NA,NA,7395,133.070276836,133.070276836,NA,NA,"yes",61.8,0.186144958458,1020,23.1568385979,NA,NA,NA,NA,0.1836,0.00320068450795,2.785,0.007012589,0.814430125,0.407215062,"Cheng et al. 2000",7230,160,160,"yes","yes","yes","yes","yes","yes","yes"
6916,389,"ICP-MS U/Th Other",3,NA,"Y1-36","calcite",0.474,0.474,7659.99076841,113.870276836,113.870276836,NA,NA,"no",47.4834619034,0.0861449584584,286.438911089,9.84344938875,NA,NA,NA,NA,0.189377731645,0.00270242187958,2.776347273,0.006316071,0.814430125,0.407215062,"Cheng et al. 2000",7600,120,120,"no","no","no","no","no","no","no"
6917,389,"ICP-MS U/Th Other",165,NA,"Y1-35","calcite",0.4796,0.4796,10010.3888974,222.511704844,222.511704844,NA,NA,"no",80.061533649,0.157828091071,879.397861677,10.1876169203,NA,NA,NA,NA,0.242840036882,0.00517666974119,2.747705692,0.005746969,0.814430125,0.407215062,"Cheng et al. 2000",9900,229.525633636,229.525633636,"no","no","no","no","no","no","no"
6918,389,"ICP-MS U/Th Other",182,NA,"Y1-34","calcite",0.4313,0.4313,10114.5098415,139.003235585,139.003235585,NA,NA,"yes",66.0666566417,0.121603795794,362.486700766,10.7947576734,NA,NA,NA,NA,0.24486827902,0.00320371412585,2.743192613,0.005513833,0.814430125,0.407215062,"Cheng et al. 2000",10060,140,140,"yes","yes","yes","yes","yes","yes","yes"
6919,389,"ICP-MS U/Th Other",305,NA,"Y1-33","calcite",0.5539,0.5539,10696.6159432,143.579332167,143.579332167,NA,NA,"no",117.980208633,0.279182397065,854.665188283,8.76150625716,NA,NA,NA,NA,0.258286595156,0.00328068450795,2.74184139,0.006178287,0.814430125,0.407215062,"Cheng et al. 2000",10620,150,150,"no","no","no","no","no","no","no"
6920,389,"ICP-MS U/Th Other",330,NA,"Y1-32","calcite",0.5024,0.5024,11410.6659388,139.336345851,139.336345851,NA,NA,"no",76.5208634721,0.13904832584,103.42176727,9.24126574012,NA,NA,NA,NA,0.274759561722,0.00317646388628,2.741278859,0.005012589,0.814430125,0.407215062,"Cheng et al. 2000",11400,140,140,"no","no","no","no","no","no","no"
6921,389,"ICP-MS U/Th Other",450,NA,"Y1-31","calcite",0.3895,0.3895,12135.1363804,336.183610982,336.183610982,NA,NA,"no",41.1613950511,0.075080205172,231.816570246,11.9420970248,NA,NA,NA,NA,0.291897689696,0.00769990946918,2.745569973,0.006521153,0.814430125,0.407215062,"Cheng et al. 2000",12080,340,340,"no","no","no","no","no","no","no"
6922,389,"ICP-MS U/Th Other",475,NA,"Y1-30","calcite",0.4524,0.4524,12663.2701067,158.875964318,158.875964318,NA,NA,"no",76.2778002351,0.200569922265,207.629423735,10.2716178173,NA,NA,NA,NA,0.303743045189,0.00349985229708,2.743084211,0.008855056,0.814430125,0.407215062,"Cheng et al. 2000",12640,160,160,"no","no","no","no","no","no","no"
6923,389,"ICP-MS U/Th Other",583,NA,"Y1-29","calcite",0.4916,0.4916,13052.6998619,244.981632227,244.981632227,NA,NA,"no",59.91701031,0.116100269355,240.827155006,9.47259498535,NA,NA,NA,NA,0.311306341196,0.0055247822925,2.731429092,0.005964622,0.814430125,0.407215062,"Cheng et al. 2000",13010,250,250,"no","no","no","no","no","no","no"
6924,389,"ICP-MS U/Th Other",605,NA,"Y1-28","calcite",0.4853,0.4853,13482.2205273,140.460226366,140.460226366,NA,NA,"no",89.556597196,0.163922441294,421.374086359,9.6188305456,NA,NA,NA,NA,0.320430231137,0.00312261399191,2.726179613,0.004881065,0.814430125,0.407215062,"Cheng et al. 2000",13430,150,150,"no","no","no","no","no","no","no"
6925,389,"ICP-MS U/Th Other",661,NA,"Y1-27","calcite",0.5406,0.5406,13662.5535411,150.903837958,150.903837958,NA,NA,"no",89.5274495193,0.207923083922,296.752893357,8.62044423505,NA,NA,NA,NA,0.325698860941,0.00332678982457,2.736143594,0.00660972,0.814430125,0.407215062,"Cheng et al. 2000",13630,160,160,"no","no","no","no","no","no","no"
6926,389,"ICP-MS U/Th Other",675,NA,"Y1-26","calcite",0.4699,0.4699,13796.4842701,222.058512422,222.058512422,NA,NA,"no",78.5910460198,0.140134820377,346.242728895,9.93330487385,NA,NA,NA,NA,0.32625156161,0.00495217356291,2.715636761,0.005013841,0.814430125,0.407215062,"Cheng et al. 2000",13750.4200678,230,230,"no","no","no","no","no","no","no"
6927,389,"ICP-MS U/Th Other",842,NA,"Y1-25","calcite",0.4598,0.4598,14373.3264312,176.145124044,176.145124044,NA,NA,"no",65.0685617568,0.120827341191,453.071609504,10.1568385979,NA,NA,NA,NA,0.339672162798,0.00390532041848,2.719512184,0.004524092,0.814430125,0.407215062,"Cheng et al. 2000",14300,179.733602166,179.733602166,"no","no","no","no","no","no","no"
6928,389,"ICP-MS U/Th Other",867,NA,"Y1-24","calcite",0.5474,0.5474,14896.721526,194.85363176,194.85363176,NA,NA,"no",43.7282988544,0.0804344216723,75.4630486776,8.48001345045,NA,NA,NA,NA,0.35318495137,0.00430687713788,2.733403844,0.00575519,0.814430125,0.407215062,"Cheng et al. 2000",14880,200,200,"no","no","no","no","no","no","no"
