Depth [m]	Age [ka BP]	Fe/Ca
5.08	17.100	8.6743
5.10	17.117	14.3677
5.12	17.134	13.3981
5.14	17.150	11.7550
5.16	17.166	12.5746
5.18	17.182	9.4339
5.20	17.199	12.3899
5.22	17.217	15.2668
5.24	17.234	9.4592
5.26	17.249	12.6766
5.28	17.265	11.8755
5.30	17.279	10.3320
5.32	17.294	13.2202
5.34	17.311	8.5802
5.36	17.328	6.8147
5.38	17.345	10.1402
5.40	17.361	13.2427
5.42	17.377	12.7697
5.44	17.392	7.8080
5.46	17.407	18.4358
5.48	17.423	16.9473
5.50	17.437	16.9040
5.52	17.451	8.4786
5.54	17.466	17.4661
5.56	17.482	12.7492
5.58	17.498	12.3612
5.60	17.513	14.7727
5.62	17.529	18.4825
5.64	17.545	16.0398
5.66	17.561	16.7133
5.68	17.577	17.8622
5.70	17.593	17.4266
5.72	17.609	13.1398
5.74	17.626	10.9750
5.76	17.643	13.2548
5.78	17.659	12.3335
5.80	17.675	13.0818
5.82	17.692	10.2422
5.84	17.706	8.9764
5.87	17.731	7.3339
5.89	17.747	7.1222
5.91	17.763	11.3357
5.93	17.779	10.8499
5.95	17.797	8.5551
5.97	17.814	12.9812
5.99	17.833	8.9935
6.01	17.851	11.8483
6.03	17.871	12.2746
6.05	17.890	12.5323
6.07	17.909	13.1726
6.09	17.929	14.6878
6.11	17.948	17.3038
6.13	17.967	15.6897
6.15	17.986	15.6591
6.17	18.006	11.0326
6.19	18.027	9.8025
6.21	18.047	10.0632
6.23	18.066	8.8255
6.25	18.086	11.4083
6.27	18.105	11.0998
6.29	18.124	12.5636
6.31	18.145	10.2379
6.33	18.164	10.4129
6.35	18.183	11.0349
6.37	18.203	10.3316
6.39	18.222	9.2051
6.41	18.243	10.1869
6.43	18.261	9.3007
6.45	18.282	10.4615
6.47	18.301	6.0450
6.49	18.322	9.4944
6.51	18.342	8.8390
6.53	18.361	8.1181
6.55	18.381	7.6990
6.57	18.401	6.6744
6.59	18.423	5.0832
6.61	18.444	4.4796
6.63	18.466	3.9114
6.65	18.490	3.4995
6.67	18.513	2.9747
6.69	18.544	1.4465
6.71	18.575	1.6010
6.73	18.616	1.8376
6.75	18.665	1.4383
6.77	18.712	1.3301
6.79	18.787	1.7892
6.81	18.857	1.2927
6.83	18.944	1.3850
6.87	19.141	1.1476
6.89	19.282	1.4245
6.91	19.413	1.5454
6.93	19.556	1.6645
6.95	19.704	1.5342
6.97	19.844	1.3104
6.99	20.003	1.3610
7.01	20.154	1.6804
7.03	20.299	1.6376
7.05	20.455	1.8146
7.07	20.597	1.5500
7.09	20.729	1.2903
7.11	20.875	1.8313
7.13	20.999	1.8465
7.15	21.128	1.6411
7.17	21.262	1.5261
7.19	21.401	1.5965
7.21	21.540	1.3798
7.23	21.665	1.4054
7.25	21.791	1.4992
7.27	21.905	1.8385
7.29	22.043	1.4542
7.31	22.166	1.7073
7.33	22.296	1.5463
7.35	22.428	1.3883
7.37	22.558	1.4561
7.39	22.693	1.5835
7.41	22.822	1.3418
7.43	22.950	1.3145
7.45	23.083	1.1666
7.47	23.206	1.2696
7.49	23.321	1.5252
7.51	23.443	1.3225
7.53	23.543	2.4593
7.55	23.635	3.1497
7.57	23.736	4.6088
7.59	23.804	4.0019
7.61	23.868	5.2228
7.63	23.921	9.6097
7.65	23.963	8.2944
7.67	24.000	6.3998
7.69	24.030	10.9247
